phd_year,gender,perc_shared_data,supportive,beneficial,tendency,benefits,benefits_list,costs,costs_list,mandatory_time,effort_decrease
1991,F,0,1,0,3,0,,0,,1,0
1976,M,0,3,1,1,1,1,0,,0,1
1998,M,0.5,3,1,2,0,,0,,1,1
1992,M,0.25,1,1,2,1,"1, 2",0,,0,0
2011,M,0.25,1,1,2,1,"1, 2",0,,0,0
1991,M,0.1,1,1,2,1,1,0,,1,1
2001,M,0.5,3,1,3,0,,0,,1,0
2001,M,0.75,1,1,3,1,1,0,,0,1
2004,M,0.5,1,1,2,0,,0,,0,1
1998,F,0.1,3,0,3,0,,0,,1,0
1994,F,0.25,1,1,3,0,,0,,0,1
1996,M,0,1,1,2,0,,0,,1,1
1992,NB,0.5,3,0,2,0,,0,,1,1
1971,M,0.5,1,1,1,1,"1, 2, 3, 4, 5",0,,0,0
1992,M,1,3,0,2,0,,0,,0,0
1994,M,0.25,2,0,2,1,"1, 3, 4",1,"3, 5",1,0
2011,M,0.75,1,1,1,1,"1, 2, 7",1,,1,0
2003,F,0.75,1,1,1,0,,0,,0,1
2000,M,0.75,1,1,1,1,"1, 8",1,7,0,0
1984,F,0.5,1,1,2,0,,0,,0,0
2004,M,1,1,1,1,1,"1, 2, 3, 4",1,"2, 3, 5",0,0
1991,M,0.1,1,1,2,0,,0,,0,0
1990,M,0.25,3,0,1,0,,0,,1,0
2001,M,0.75,1,1,2,0,,0,,0,0
1999,M,0.5,3,1,1,1,"2, 3, 7",0,,1,1
1990,F,0.5,1,1,3,0,,0,,0,0
1996,F,0.1,1,1,2,0,,0,,0,1
2003,F,0.5,1,0,2,0,,1,"1, 7",0,1
1980,M,0.25,1,1,2,1,"1, 8",0,,1,0
2008,F,0.75,1,1,2,0,,0,,0,0
